127.0.0.1 - - [05/May/2025:05:56:54 -0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [05/May/2025:05:57:10 -0700] "GET /GoGo/user HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [05/May/2025:05:57:11 -0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [05/May/2025:05:57:24 -0700] "GET /GoGo/user?id=2 HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [05/May/2025:05:58:45 -0700] "GET /GoGo/user?id=2 HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [05/May/2025:06:05:08 -0700] "GET /GoGo/user?id=2 HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [05/May/2025:06:05:08 -0700] "GET /GoGo/styles/theme.css HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [05/May/2025:06:07:45 -0700] "GET /GoGo/user?id=2 HTTP/1.1" 200 2939
0:0:0:0:0:0:0:1 - - [05/May/2025:06:07:45 -0700] "GET /GoGo/styles/theme.css HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [05/May/2025:06:08:56 -0700] "GET /GoGo/user?id=2 HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [05/May/2025:06:08:56 -0700] "GET /GoGo/styles/theme.css HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [05/May/2025:06:09:13 -0700] "GET /GoGo/user?id=2 HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [05/May/2025:06:09:13 -0700] "GET /GoGo/styles/theme.css HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [05/May/2025:06:09:18 -0700] "GET /GoGo/styles/theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2025:06:09:18 -0700] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
